"package_version","license","used_in","publisher","repository"
"hey-listen@1.0.8","MIT","extension","Matt Perry","https://github.com/Popmotion/hey-listen"
"hoist-non-react-statics@3.3.2","BSD-3-Clause","dashboard;extension","Michael Ridgway","https://github.com/mridgway/hoist-non-react-statics"
"hpack.js@2.1.6","MIT","extension","Fedor Indutny","https://github.com/indutny/hpack.js"
"html-encoding-sniffer@4.0.0","MIT","backend","Domenic Denicola","https://github.com/jsdom/html-encoding-sniffer"
"html-entities@2.5.2","MIT","extension","Marat Dulin","https://github.com/mdevils/html-entities"
"html-escaper@2.0.2","MIT","extension","Andrea Giammarchi","https://github.com/WebReflection/html-escaper"
"htmlparser2@9.1.0","MIT","backend;dashboard;extension","Felix Boehm","https://github.com/fb55/htmlparser2"
"http_ece@1.2.0","MIT","backend","Martin Thomson","https://github.com/martinthomson/encrypted-content-encoding"
"http-cache-semantics@3.8.1","BSD-2-Clause","extension","Kornel Lesiński","https://github.com/pornel/http-cache-semantics"
"http-deceiver@1.2.7","MIT","extension","Fedor Indutny","https://github.com/indutny/http-deceiver"
"http-errors@1.6.3","MIT","extension","Jonathan Ong","https://github.com/jshttp/http-errors"
"http-errors@2.0.0","MIT","backend;extension","Jonathan Ong","https://github.com/jshttp/http-errors"
"http-parser-js@0.5.10","MIT","extension","Tim Caswell","https://github.com/creationix/http-parser-js"
"http-proxy-agent@7.0.2","MIT","backend;extension","Nathan Rajlich","https://github.com/TooTallNate/proxy-agents"
"http-proxy-middleware@2.0.9","MIT","extension","Steven Chim","https://github.com/chimurai/http-proxy-middleware"
"http-proxy@1.18.1","MIT","extension","Charlie Robbins","https://github.com/http-party/node-http-proxy"
"https-proxy-agent@5.0.1","MIT","backend","Nathan Rajlich","https://github.com/TooTallNate/node-https-proxy-agent"
"https-proxy-agent@7.0.6","MIT","backend;extension","Nathan Rajlich","https://github.com/TooTallNate/proxy-agents"
"human-signals@1.1.1","Apache-2.0","extension","ehmicky","https://github.com/ehmicky/human-signals"
"human-signals@2.1.0","Apache-2.0","extension","ehmicky","https://github.com/ehmicky/human-signals"
"iconv-lite@0.4.24","MIT","backend;extension","Alexander Shtuchkin","https://github.com/ashtuchkin/iconv-lite"
"iconv-lite@0.6.3","MIT","backend;dashboard;extension","Alexander Shtuchkin","https://github.com/ashtuchkin/iconv-lite"
"icss-utils@5.1.0","ISC","extension","Glen Maddern","https://github.com/css-modules/icss-utils"
"ieee754@1.2.1","BSD-3-Clause","extension","Feross Aboukhadijeh","https://github.com/feross/ieee754"
"ignore@5.3.2","MIT","dashboard;extension","kael","https://github.com/kaelzhang/node-ignore"
"image-webpack-loader@8.1.0","MIT","extension","Thomas Coopman @tcoopman","https://github.com/tcoopman/image-webpack-loader"
"imagemin-gifsicle@7.0.0","MIT","extension","","https://github.com/imagemin/imagemin-gifsicle"
"imagemin-mozjpeg@9.0.0","MIT","extension","Kevin Mårtensson","https://github.com/imagemin/imagemin-mozjpeg"
"imagemin-optipng@8.0.0","MIT","extension","","https://github.com/imagemin/imagemin-optipng"
"imagemin-pngquant@9.0.2","MIT","extension","","https://github.com/imagemin/imagemin-pngquant"
"imagemin-svgo@9.0.0","MIT","extension","","https://github.com/imagemin/imagemin-svgo"
"imagemin-webp@7.0.0","MIT","extension","Kevin Mårtensson","https://github.com/imagemin/imagemin-webp"
"imagemin@7.0.1","MIT","extension","","https://github.com/imagemin/imagemin"
"imagesloaded@5.0.0","MIT","dashboard","David DeSandro","https://github.com/desandro/imagesloaded"
"immer@10.2.0","MIT","dashboard","Michel Weststrate","https://github.com/immerjs/immer"
"import-fresh@3.3.0","MIT","dashboard","Sindre Sorhus","https://github.com/sindresorhus/import-fresh"
"import-fresh@3.3.1","MIT","backend;extension","Sindre Sorhus","https://github.com/sindresorhus/import-fresh"
"import-lazy@3.1.0","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/import-lazy"
"import-local@3.2.0","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/import-local"
"imurmurhash@0.1.4","MIT","dashboard","Jens Taylor","https://github.com/jensyt/imurmurhash-js"
"index-array-by@1.4.2","MIT","dashboard","Vasco Asturiano","https://github.com/vasturiano/index-array-by"
"inflight@1.0.6","ISC","backend;extension","Isaac Z. Schlueter","https://github.com/npm/inflight"
"inherits@2.0.3","ISC","backend;extension","","https://github.com/isaacs/inherits"
"inherits@2.0.4","ISC","backend;extension","","https://github.com/isaacs/inherits"
"ini@1.3.8","ISC","extension","Isaac Z. Schlueter","https://github.com/isaacs/ini"
"internmap@2.0.3","ISC","dashboard;extension","Mike Bostock","https://github.com/mbostock/internmap"
"interpret@2.2.0","MIT","extension","Gulp Team","https://github.com/gulpjs/interpret"
"into-stream@3.1.0","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/into-stream"
"ip-address@9.0.5","MIT","backend;extension","Beau Gunderson","https://github.com/beaugunderson/ip-address"
"ipaddr.js@1.9.1","MIT","backend;extension","whitequark","https://github.com/whitequark/ipaddr.js"
"ipaddr.js@2.2.0","MIT","extension","whitequark","https://github.com/whitequark/ipaddr.js"
"is-arrayish@0.2.1","MIT","backend;dashboard;extension","Qix","https://github.com/qix-/node-is-arrayish"
"is-arrayish@0.3.2","MIT","backend;extension","Qix","https://github.com/qix-/node-is-arrayish"
"is-binary-path@2.1.0","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/is-binary-path"
"is-core-module@2.16.1","MIT","dashboard;extension","Jordan Harband","https://github.com/inspect-js/is-core-module"
"is-cwebp-readable@3.0.0","ISC","extension","Shinnosuke Watanabe","https://github.com/shinnn/is-cwebp-readable"
"is-docker@2.2.1","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/is-docker"
"is-extglob@2.1.1","MIT","dashboard;extension","Jon Schlinkert","https://github.com/jonschlinkert/is-extglob"
"is-fullwidth-code-point@3.0.0","MIT","backend;extension","Sindre Sorhus","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-gif@3.0.0","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/is-gif"
"is-glob@4.0.3","MIT","dashboard;extension","Jon Schlinkert","https://github.com/micromatch/is-glob"
"is-hotkey@0.2.0","MIT","dashboard","","https://github.com/ianstormtaylor/is-hotkey"
"is-jpg@2.0.0","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/is-jpg"
"is-lite@0.8.2","MIT","dashboard","Gil Barbara","https://github.com/gilbarbara/is-lite"
"is-lite@1.2.1","MIT","dashboard","Gil Barbara","https://github.com/gilbarbara/is-lite"
"is-natural-number@4.0.1","MIT","extension","Shinnosuke Watanabe","https://github.com/shinnn/is-natural-number.js"
"is-number@7.0.0","MIT","dashboard;extension","Jon Schlinkert","https://github.com/jonschlinkert/is-number"
"is-object@1.0.2","MIT","extension","Raynos","https://github.com/inspect-js/is-object"
"is-plain-obj@1.1.0","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/is-plain-obj"
"is-plain-obj@3.0.0","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/is-plain-obj"
"is-plain-object@2.0.4","MIT","extension","Jon Schlinkert","https://github.com/jonschlinkert/is-plain-object"
"is-plain-object@5.1.0","MIT","dashboard","Jon Schlinkert","https://github.com/jonschlinkert/is-plain-object"
"is-png@2.0.0","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/is-png"
"is-potential-custom-element-name@1.0.1","MIT","backend","Mathias Bynens","https://github.com/mathiasbynens/is-potential-custom-element-name"
"is-property@1.0.2","MIT","backend","Mikola Lysenko","https://github.com/mikolalysenko/is-property"
"is-retry-allowed@1.2.0","MIT","extension","Vsevolod Strukchinsky","https://github.com/floatdrop/is-retry-allowed"
"is-stream@1.1.0","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/is-stream"
"is-stream@2.0.1","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/is-stream"
"is-svg@4.4.0","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/is-svg"
"is-wsl@2.2.0","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/is-wsl"
"isarray@1.0.0","MIT","backend;extension","Julian Gruber","https://github.com/juliangruber/isarray"
"isexe@2.0.0","ISC","backend;dashboard;extension","Isaac Z. Schlueter","https://github.com/isaacs/isexe"
"isobject@3.0.1","MIT","extension","Jon Schlinkert","https://github.com/jonschlinkert/isobject"
"isurl@1.0.0","MIT","extension","Steven Vachon","https://github.com/stevenvachon/isurl"
"jerrypick@1.1.2","MIT","dashboard","Vasco Asturiano","https://github.com/vasturiano/jerrypick"
"jest-worker@27.5.1","MIT","extension","","https://github.com/facebook/jest"
"jQuery@1.7.4","MIT","dashboard","James Morrin","https://github.com/coolaj86/node-jquery"
"jquery@3.7.1","MIT","dashboard","OpenJS Foundation and other contributors","https://github.com/jquery/jquery"
"js-tokens@4.0.0","MIT","backend;dashboard;extension","Simon Lydell","https://github.com/lydell/js-tokens"
"js-yaml@4.1.0","MIT","backend;dashboard;extension","Vladimir Zapparov","https://github.com/nodeca/js-yaml"
"jsbn@1.1.0","MIT","backend;extension","Tom Wu","https://github.com/andyperlitch/jsbn"
"jsdom@26.0.0","MIT","backend","","https://github.com/jsdom/jsdom"
"jsesc@3.0.2","MIT","dashboard","Mathias Bynens","https://github.com/mathiasbynens/jsesc"
"jsesc@3.1.0","MIT","extension","Mathias Bynens","https://github.com/mathiasbynens/jsesc"
"json-buffer@3.0.0","MIT","extension","Dominic Tarr","https://github.com/dominictarr/json-buffer"
"json-buffer@3.0.1","MIT","dashboard","Dominic Tarr","https://github.com/dominictarr/json-buffer"
"json-parse-even-better-errors@2.3.1","MIT","backend;dashboard;extension","Kat Marchán","https://github.com/npm/json-parse-even-better-errors"
"json-schema-traverse@0.4.1","MIT","dashboard;extension","Evgeny Poberezkin","https://github.com/epoberezkin/json-schema-traverse"
"json-schema-traverse@1.0.0","MIT","extension","Evgeny Poberezkin","https://github.com/epoberezkin/json-schema-traverse"
"json-stable-stringify-without-jsonify@1.0.1","MIT","dashboard","James Halliday","https://github.com/samn/json-stable-stringify"
"json5@2.2.3","MIT","dashboard;extension","Aseem Kishore","https://github.com/json5/json5"
"jsonfile@6.1.0","MIT","backend;extension","JP Richardson","https://github.com/jprichardson/node-jsonfile"
"jsonrepair@3.12.0","ISC","backend;extension","Jos de Jong","https://github.com/josdejong/jsonrepair"
"jsonwebtoken@9.0.2","MIT","backend","auth0","https://github.com/auth0/node-jsonwebtoken"
"junk@3.1.0","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/junk"
"jwa@1.4.1","MIT","backend","Brian J. Brennan","https://github.com/brianloveswords/node-jwa"
"jwa@2.0.1","MIT","backend","Brian J. Brennan","https://github.com/brianloveswords/node-jwa"
"jws@3.2.2","MIT","backend","Brian J Brennan","https://github.com/brianloveswords/node-jws"
"jws@4.0.1","MIT","backend","Brian J Brennan","https://github.com/brianloveswords/node-jws"
"kapsule@1.16.3","MIT","dashboard","Vasco Asturiano","https://github.com/vasturiano/kapsule"
"keyv@3.0.0","MIT","extension","Luke Childs","https://github.com/lukechilds/keyv"
"keyv@4.5.4","MIT","dashboard","Jared Wray","https://github.com/jaredwray/keyv"
"kind-of@6.0.3","MIT","extension","Jon Schlinkert","https://github.com/jonschlinkert/kind-of"
"launch-editor@2.10.0","MIT","extension","Evan You","https://github.com/yyx990803/launch-editor"
"levn@0.4.1","MIT","dashboard","George Zahariev","https://github.com/gkz/levn"
"lines-and-columns@1.2.4","MIT","backend;dashboard;extension","Brian Donovan","https://github.com/eventualbuddha/lines-and-columns"
"loader-runner@4.3.0","MIT","extension","Tobias Koppers @sokra","https://github.com/webpack/loader-runner"
"loader-utils@2.0.4","MIT","extension","Tobias Koppers @sokra","https://github.com/webpack/loader-utils"
"locate-path@5.0.0","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/locate-path"
"locate-path@6.0.0","MIT","dashboard","Sindre Sorhus","https://github.com/sindresorhus/locate-path"
"lodash-es@4.17.21","MIT","extension","John-David Dalton","https://github.com/lodash/lodash"
"lodash-es@4.18.1","MIT","dashboard","John-David Dalton","https://github.com/lodash/lodash"
"lodash.debounce@4.0.8","MIT","dashboard","John-David Dalton","https://github.com/lodash/lodash"
"lodash.includes@4.3.0","MIT","backend","John-David Dalton","https://github.com/lodash/lodash"
"lodash.isboolean@3.0.3","MIT","backend","John-David Dalton","https://github.com/lodash/lodash"
"lodash.isinteger@4.0.4","MIT","backend","John-David Dalton","https://github.com/lodash/lodash"
"lodash.isnumber@3.0.3","MIT","backend","John-David Dalton","https://github.com/lodash/lodash"
"lodash.isplainobject@4.0.6","MIT","backend","John-David Dalton","https://github.com/lodash/lodash"
"lodash.isstring@4.0.1","MIT","backend","John-David Dalton","https://github.com/lodash/lodash"
"lodash.merge@4.6.2","MIT","dashboard","John-David Dalton","https://github.com/lodash/lodash"
"lodash.mergewith@4.6.2","MIT","dashboard;extension","John-David Dalton","https://github.com/lodash/lodash"
"lodash.once@4.1.1","MIT","backend","John-David Dalton","https://github.com/lodash/lodash"
"lodash@3.10.1","MIT","extension","John-David Dalton","https://github.com/lodash/lodash"
"lodash@4.17.21","MIT","dashboard","John-David Dalton","https://github.com/lodash/lodash"
"long@5.3.1","Apache-2.0","backend","Daniel Wirtz","https://github.com/dcodeIO/long.js"
"loose-envify@1.4.0","MIT","dashboard;extension","Andres Suarez","https://github.com/zertosh/loose-envify"
"lowercase-keys@1.0.0","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/lowercase-keys"
"lowercase-keys@1.0.1","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/lowercase-keys"
"lru-cache@10.4.3","ISC","backend","Isaac Z. Schlueter","https://github.com/isaacs/node-lru-cache"
"lru-cache@4.1.5","ISC","extension","Isaac Z. Schlueter","https://github.com/isaacs/node-lru-cache"
"lru-cache@5.1.1","ISC","dashboard;extension","Isaac Z. Schlueter","https://github.com/isaacs/node-lru-cache"
"lru-cache@7.18.3","ISC","backend;extension","Isaac Z. Schlueter","https://github.com/isaacs/node-lru-cache"
"lru.min@1.1.1","MIT","backend","https://github.com/wellwelwel","https://github.com/wellwelwel/lru.min"
"make-dir@1.3.0","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/make-dir"
"make-dir@3.1.0","MIT","backend;extension","Sindre Sorhus","https://github.com/sindresorhus/make-dir"
"make-error@1.3.6","ISC","extension","Julien Fontanet","https://github.com/JsCommunity/make-error"
"math-intrinsics@1.1.0","MIT","extension","Jordan Harband","https://github.com/es-shims/math-intrinsics"
"mdn-data@2.0.14","CC0-1.0","extension","Mozilla Developer Network","https://github.com/mdn/data"
"media-typer@0.3.0","MIT","backend;extension","Douglas Christopher Wilson","https://github.com/jshttp/media-typer"
"memfs@3.5.3","Unlicense","extension","","https://github.com/streamich/memfs"
"memoize-one@6.0.0","MIT","extension","Alex Reardon","https://github.com/alexreardon/memoize-one"
"merge-descriptors@1.0.3","MIT","backend;extension","Jonathan Ong","https://github.com/sindresorhus/merge-descriptors"
"merge-stream@2.0.0","MIT","extension","Stephen Sugden","https://github.com/grncdr/merge-stream"
"merge2@1.4.1","MIT","dashboard;extension","","https://github.com/teambition/merge2"
"methods@1.1.2","MIT","backend;extension","","https://github.com/jshttp/methods"
"micromatch@4.0.8","MIT","dashboard;extension","Jon Schlinkert","https://github.com/micromatch/micromatch"
"mime-db@1.52.0","MIT","backend;dashboard;extension","","https://github.com/jshttp/mime-db"
"mime-db@1.53.0","MIT","extension","","https://github.com/jshttp/mime-db"
"mime-types@2.1.35","MIT","backend;dashboard;extension","","https://github.com/jshttp/mime-types"
"mime@1.6.0","MIT","backend;extension","Robert Kieffer","https://github.com/broofa/node-mime"
"mimic-fn@2.1.0","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/mimic-fn"
"mimic-response@1.0.1","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/mimic-response"
"mimic-response@3.1.0","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/mimic-response"
"minimalistic-assert@1.0.1","ISC","backend;extension","","https://github.com/calvinmetcalf/minimalistic-assert"
"minimatch@3.1.2","ISC","backend;dashboard;extension","Isaac Z. Schlueter","https://github.com/isaacs/minimatch"
"minimatch@9.0.5","ISC","dashboard","Isaac Z. Schlueter","https://github.com/isaacs/minimatch"
"minimist@1.2.8","MIT","backend;extension","James Halliday","https://github.com/minimistjs/minimist"
"minipass@3.3.6","ISC","backend","Isaac Z. Schlueter","https://github.com/isaacs/minipass"
"minipass@5.0.0","ISC","backend","Isaac Z. Schlueter","https://github.com/isaacs/minipass"
"minizlib@2.1.2","MIT","backend","Isaac Z. Schlueter","https://github.com/isaacs/minizlib"
"mitt@3.0.1","MIT","backend;extension","","https://github.com/developit/mitt"
"mkdirp-classic@0.5.3","MIT","extension","Mathias Buus","https://github.com/mafintosh/mkdirp-classic"
"mkdirp@0.5.6","MIT","backend","James Halliday","https://github.com/substack/node-mkdirp"
"mkdirp@1.0.4","MIT","backend","","https://github.com/isaacs/node-mkdirp"
"motion-dom@11.18.1","MIT","dashboard","Matt Perry","https://github.com/motiondivision/motion"
"motion-utils@11.18.1","MIT","dashboard","Matt Perry","https://github.com/motiondivision/motion"
"mozjpeg@7.1.1","MIT","extension","","https://github.com/imagemin/mozjpeg-bin"
"mrmime@2.0.1","MIT","extension","Luke Edwards","https://github.com/lukeed/mrmime"
"ms@2.0.0","MIT","backend;extension","","https://github.com/zeit/ms"
"ms@2.1.3","MIT","backend;dashboard;extension","","https://github.com/vercel/ms"
"multer@1.4.5-lts.2","MIT","backend","","https://github.com/expressjs/multer"
"multicast-dns@7.2.5","MIT","extension","Mathias Buus","https://github.com/mafintosh/multicast-dns"
"mysql@2.18.1","MIT","backend;extension","Felix Geisendörfer","https://github.com/mysqljs/mysql"
"mysql2@3.12.0","MIT","backend","Andrey Sidorov","https://github.com/sidorares/node-mysql2"
"named-placeholders@1.1.3","MIT","backend","Andrey Sidorov","https://github.com/sidorares/named-placeholders"
"nanoid@3.3.7","MIT","dashboard","Andrey Sitnik","https://github.com/ai/nanoid"
"nanoid@3.3.9","MIT","extension","Andrey Sitnik","https://github.com/ai/nanoid"
"napi-build-utils@2.0.0","MIT","extension","Jim Schlight","https://github.com/inspiredware/napi-build-utils"
"native-or-bluebird@1.2.0","MIT","extension","Jonathan Ong","https://github.com/normalize/native-or-bluebird"
"natural-compare@1.4.0","MIT","dashboard","Lauri Rooden","https://github.com/litejs/natural-compare-lite"
"negotiator@0.6.3","MIT","backend;extension","","https://github.com/jshttp/negotiator"
"negotiator@0.6.4","MIT","extension","","https://github.com/jshttp/negotiator"
"neo-async@2.6.2","MIT","extension","","https://github.com/suguru03/neo-async"
"netmask@2.0.2","MIT","backend;extension","Olivier Poitrey","https://github.com/rs/node-netmask"
"nice-try@1.0.5","MIT","extension","","https://github.com/electerious/nice-try"
"node-abi@3.74.0","MIT","extension","Lukas Geiger","https://github.com/electron/node-abi"
"node-addon-api@5.1.0","MIT","backend","","https://github.com/nodejs/node-addon-api"
"node-addon-api@7.1.1","MIT","extension","","https://github.com/nodejs/node-addon-api"
"node-ensure@0.0.0","MIT","backend;extension","Carl A. Bauer","https://github.com/bauerca/node-ensure"
"node-fetch@2.7.0","MIT","backend","David Frank","https://github.com/bitinn/node-fetch"
"node-forge@1.3.1","(BSD-3-Clause OR GPL-2.0)","extension","Digital Bazaar, Inc.","https://github.com/digitalbazaar/forge"
"node-releases@2.0.18","MIT","dashboard","Sergey Rubanov","https://github.com/chicoxyzzy/node-releases"
"node-releases@2.0.19","MIT","extension","Sergey Rubanov","https://github.com/chicoxyzzy/node-releases"
